method,method_label_cn,split,bias_model,requested_gcp_count,used_gcp_count,icp_count,selection,rmse_x_px,rmse_y_px,rmse_2d_px,median_error_px,p90_error_px,p95_error_px,rmse_2d_m,median_error_m,ce90_m,p95_error_m
compact_64B_orientation_l1,64 B 方向空间码 / L1,3,translation,5,5,24,spatial_farthest_with_margin_tiebreak,1.8529512421833731,3.354712767905113,3.832430829258956,3.1975994460104245,5.0206400691599855,5.209865753904749,2.47687031292148,2.066580713201571,3.2447907109248506,3.3670801403516006
compact_64B_orientation_l1,64 B 方向空间码 / L1,3,translation,10,10,24,spatial_farthest_with_margin_tiebreak,1.9412983238025816,2.548785748136662,3.2038957492251954,2.7624312074104256,4.25959015530097,4.439349710274722,2.070653599223842,1.785333236902074,2.752933304437091,2.8691102855425497
compact_64B_orientation_l1,64 B 方向空间码 / L1,3,affine,5,5,24,spatial_farthest_with_margin_tiebreak,3.3301674564091353,5.668196772221753,6.574075595576278,6.1953540857897,8.885971795707123,9.1733331106186,4.248780686589795,4.003995491818132,5.7429858424592535,5.928678039407892
compact_64B_orientation_l1,64 B 方向空间码 / L1,3,affine,10,10,24,spatial_farthest_with_margin_tiebreak,1.9733307665679114,7.593917226278986,7.846120898498839,7.593342434462202,9.39693245477028,11.259922681211382,5.070894695687263,4.907508713777492,6.07316023611721,7.27729648682223
compact_64B_orientation_l1,64 B 方向空间码 / L1,3,affine,20,20,24,spatial_farthest_with_margin_tiebreak,2.7336353885510825,6.773951045018991,7.304736490651302,7.191635968406899,8.954273760777657,9.091517939405334,4.720996133023882,4.647917062811647,5.787092355625222,5.8757880201729495
compact_64B_orientation_l1,64 B 方向空间码 / L1,4,translation,5,5,24,spatial_farthest_with_margin_tiebreak,1.8475153478131425,2.61500074203192,3.2018029048073227,2.8549565140210253,4.210938968036542,4.3423220309712685,2.0693012060617724,1.845135439623371,2.721487552848214,2.8063940830776954
compact_64B_orientation_l1,64 B 方向空间码 / L1,4,translation,10,10,24,spatial_farthest_with_margin_tiebreak,1.8524274432780823,3.323802249779858,3.8051476749597275,3.4321515782476797,4.995416759212118,4.997080245385668,2.4592383134909697,2.2181786494787104,3.228520165806538,3.229557797956563
compact_64B_orientation_l1,64 B 方向空间码 / L1,4,affine,5,5,24,spatial_farthest_with_margin_tiebreak,2.482141023112699,4.786926715786781,5.392188001259987,4.009096657089454,8.05866632903403,9.296909833545707,3.484921156197556,2.5910500198680424,5.208214358270358,6.008482642289232
compact_64B_orientation_l1,64 B 方向空间码 / L1,4,affine,10,10,24,spatial_farthest_with_margin_tiebreak,2.0611427935797924,5.236251946615029,5.627312330407439,3.6414524558287162,8.817570774241624,9.865741578811212,3.6368816042936865,2.353446965896222,5.698788283354494,6.376132935360267
compact_64B_orientation_l1,64 B 方向空间码 / L1,4,affine,20,20,24,spatial_farthest_with_margin_tiebreak,2.1931465558566523,5.364756067328575,5.795731142608727,4.0869239504914185,9.085436804454405,9.96385678975937,3.7457295487525077,2.6413523929344844,5.871904008206257,6.439544185185667
